weapon	enemy	expectation	fired	hit	damaged	killed	timeToDamage	timeToKill	result
Colt45	Paratrooper	MustDamage	true	true	true	true	0.11	0.11	PASS
Thompson	Paratrooper	MustDamage	true	true	true	true	0.139	0.139	PASS
Tesla	Paratrooper	MustDamage	true	true	true	true	0.086	0.086	PASS
Flamethrower	Paratrooper	MustDamage	true	true	true	true	1.322	1.322	PASS
Bazooka	Paratrooper	MustDamage	true	true	true	true	1.978	1.978	PASS
Thompson	Helicopter	MustDamage	true	true	true	false	0.156	-1	PASS_DAMAGE_ONLY
Colt45	Helicopter	MustDamage	true	true	true	false	0.317	-1	PASS_DAMAGE_ONLY
Flamethrower	Helicopter	MustDamage	true	true	true	false	0.028	-1	PASS_DAMAGE_ONLY
Tesla	Helicopter	MustDamage	true	true	true	false	0.044	-1	PASS_DAMAGE_ONLY
Bazooka	Helicopter	MustDamage	true	true	true	true	0.721	0.721	PASS
